source,target,date,fromLat,fromLon,toLat,toLon,weight
Borgo a Mozzano,Sillano Giuncugnano,10-10-2023,43.98057185,10.54311025,44.2231432,10.300024,16
Borgo a Mozzano,Villa Collemandina,10-10-2023,43.98057185,10.54311025,44.15904725,10.39775715,16
Camporgiano,Bagni di Lucca,10-01-2023,44.15955695,10.3330076,44.0089207,10.5743811,21
Camporgiano,Bagni di Lucca,10-10-2023,44.15955695,10.3330076,44.0089207,10.5743811,20
Camporgiano,Barga,10-10-2023,44.15955695,10.3330076,44.07326495,10.4775162,21
Camporgiano,Borgo a Mozzano,10-01-2023,44.15955695,10.3330076,43.98057185,10.54311025,21
Camporgiano,Borgo a Mozzano,10-10-2023,44.15955695,10.3330076,43.98057185,10.54311025,21
Camporgiano,Careggine,07-05-2023,44.15955695,10.3330076,44.11944175,10.3256665,24
Camporgiano,Careggine,07-09-2023,44.15955695,10.3330076,44.11944175,10.3256665,24
Camporgiano,Careggine,10-10-2023,44.15955695,10.3330076,44.11944175,10.3256665,15
Camporgiano,Castelnuovo di Garfagnana,07-05-2023,44.15955695,10.3330076,44.11419535,10.4024762,24
Camporgiano,Castelnuovo di Garfagnana,07-09-2023,44.15955695,10.3330076,44.11419535,10.4024762,24
Camporgiano,Castelnuovo di Garfagnana,10-01-2023,44.15955695,10.3330076,44.11419535,10.4024762,21
Camporgiano,Castelnuovo di Garfagnana,10-10-2023,44.15955695,10.3330076,44.11419535,10.4024762,22
Camporgiano,Castiglione di Garfagnana,07-05-2023,44.15955695,10.3330076,44.1517665,10.41126715,24
Camporgiano,Castiglione di Garfagnana,07-09-2023,44.15955695,10.3330076,44.1517665,10.41126715,24
Camporgiano,Castiglione di Garfagnana,10-10-2023,44.15955695,10.3330076,44.1517665,10.41126715,18
Camporgiano,Coreglia Antelminelli,10-10-2023,44.15955695,10.3330076,44.0692364,10.5599585,7
Camporgiano,Fabbriche di Vergemoli,10-10-2023,44.15955695,10.3330076,43.99803285,10.42961115,18
Camporgiano,Fosciandora,07-05-2023,44.15955695,10.3330076,44.11533145,10.45835555,24
Camporgiano,Fosciandora,07-09-2023,44.15955695,10.3330076,44.11533145,10.45835555,24
Camporgiano,Fosciandora,10-01-2023,44.15955695,10.3330076,44.11533145,10.45835555,21
Camporgiano,Fosciandora,10-10-2023,44.15955695,10.3330076,44.11533145,10.45835555,22
Camporgiano,Gallicano,10-01-2023,44.15955695,10.3330076,44.06049345,10.4397426,21
Camporgiano,Gallicano,10-10-2023,44.15955695,10.3330076,44.06049345,10.4397426,22
Camporgiano,Lucca,10-01-2023,44.15955695,10.3330076,43.84281,10.50238,19
Camporgiano,Lucca,10-10-2023,44.15955695,10.3330076,43.84281,10.50238,20
Camporgiano,Minucciano,07-05-2023,44.15955695,10.3330076,44.1696951,10.20750045,24
Camporgiano,Minucciano,07-09-2023,44.15955695,10.3330076,44.1696951,10.20750045,24
Camporgiano,Minucciano,10-10-2023,44.15955695,10.3330076,44.1696951,10.20750045,17
Camporgiano,Molazzana,07-05-2023,44.15955695,10.3330076,44.07211555,10.4178267,24
Camporgiano,Molazzana,07-09-2023,44.15955695,10.3330076,44.07211555,10.4178267,24
Camporgiano,Molazzana,10-01-2023,44.15955695,10.3330076,44.07211555,10.4178267,15
Camporgiano,Molazzana,10-10-2023,44.15955695,10.3330076,44.07211555,10.4178267,22
Camporgiano,Pescaglia,10-10-2023,44.15955695,10.3330076,43.9649472,10.41305245,17
Camporgiano,Piazza al Serchio,07-05-2023,44.15955695,10.3330076,44.1846216,10.2940049,24
Camporgiano,Piazza al Serchio,07-09-2023,44.15955695,10.3330076,44.1846216,10.2940049,24
Camporgiano,Piazza al Serchio,10-01-2023,44.15955695,10.3330076,44.1846216,10.2940049,21
Camporgiano,Piazza al Serchio,10-10-2023,44.15955695,10.3330076,44.1846216,10.2940049,22
Camporgiano,Pieve Fosciana,07-05-2023,44.15955695,10.3330076,44.14504415,10.44694585,24
Camporgiano,Pieve Fosciana,07-09-2023,44.15955695,10.3330076,44.14504415,10.44694585,24
Camporgiano,Pieve Fosciana,10-10-2023,44.15955695,10.3330076,44.14504415,10.44694585,10
Camporgiano,San Romano in Garfagnana,07-05-2023,44.15955695,10.3330076,44.1703812,10.34601445,24
Camporgiano,San Romano in Garfagnana,07-09-2023,44.15955695,10.3330076,44.1703812,10.34601445,24
Camporgiano,San Romano in Garfagnana,10-01-2023,44.15955695,10.3330076,44.1703812,10.34601445,24
Camporgiano,San Romano in Garfagnana,10-10-2023,44.15955695,10.3330076,44.1703812,10.34601445,24
Camporgiano,Sillano Giuncugnano,07-05-2023,44.15955695,10.3330076,44.2231432,10.300024,24
