stop_id,stop_name,stop_lat,stop_lon,stop_code
"2@C0481_600","Viale Marti Fr. Ex Casina Rossa","43.8497435376214","10.511986579518","2@C0481"
"2@C0482_600","Marti 1","43.8497314794033","10.509800475796","2@C0482"
"2@C0487_600","Via Tagliate Cimitero","43.8489180175541","10.4961171810149","2@C0487"
"2@C0488_600","Piazzale Boccherini","43.8423667895074","10.4947101754329","2@C0488"
"2@C0489_600","Via Ss.Annunziata Civ.472","43.8589136075706","10.5276320840793","2@C0489"
"2@C0490_600","Viale Papi","43.843848455684","10.4940542894378","2@C0490"
"2@C0492_600","Tiglio 1","43.8412587123754","10.5208031011471","2@C0492"
"2@C0495_600","Tiglio 4","43.8409240681942","10.5236198957414","2@C0495"
"2@C0500_600","Tiglio 6","43.841396130673","10.5209636411376","2@C0500"
"2@C0503_600","Puccini 1","43.8439780277824","10.4876153276459","2@C0503"
"2@C0504_600","Puccini 12","43.8440983668273","10.4863245523863","2@C0504"
"2@C0506_600","Puccini 5","43.8453821738671","10.4812942578757","2@C0506"
"2@C0507_600","Puccini 8","43.844916593785","10.4822504810816","2@C0507"
"2@C0510_600","Via Ss.Annunziata Civ.472","43.8590130803679","10.5272628851248","2@C0510"
"2@C0518_600","Bandettini 1","43.8363933639637","10.495778277995","2@C0518"
"2@C0519_600","Bandettini 4","43.8363814394455","10.4955543366639","2@C0519"
"2@C0520_600","Bandettini 2","43.8366004248087","10.4972922413213","2@C0520"
"2@C0521_600","Bandettini 3","43.8364898062867","10.4979421215787","2@C0521"
"2@C0522_600","Via Guidiccioni Chiesa","43.8362614305778","10.5012597096796","2@C0522"
"2@C0523_600","Via Formica Ang.Consani","43.8357069418316","10.5035360688123","2@C0523"
"2@C0524_600","Pisana","43.8412455137037","10.4816091875086","2@C0524"
"2@C0526_600","V.Le Castracani Civ.436","43.8456124594039","10.519450680668","2@C0526"
"2@C0527_600","V.Le Castracani Scuole Elem.","43.8456624908124","10.5193106281965","2@C0527"
"2@C0528_600","V.Le Castracani Civ.812","43.8481793395848","10.5235820174168","2@C0528"
