service_id,date,exception_type
"4493_482248","20231021","1"
"4493_482248","20231023","1"
"4493_482248","20231024","1"
"4493_482248","20231025","1"
"4493_482248","20231026","1"
"4493_482248","20231027","1"
"4493_482248","20231028","1"
"4493_482248","20231030","1"
"4493_482248","20231031","1"
"4493_482248","20231106","1"
"4493_482248","20231107","1"
"4493_482248","20231108","1"
"4493_482248","20231109","1"
"4493_482248","20231110","1"
"4493_482248","20231111","1"
"4493_482248","20231113","1"
"4493_482248","20231114","1"
"4493_482248","20231115","1"
"4493_482248","20231116","1"
"4493_482248","20231117","1"
"4493_482248","20231118","1"
"4493_482248","20231120","1"
"4493_482248","20231121","1"
"4493_482248","20231122","1"
"4493_482248","20231123","1"
"4493_482248","20231124","1"
"4493_482248","20231125","1"
"4493_482248","20231127","1"
"4493_482248","20231128","1"
"4493_482248","20231129","1"
"4493_482248","20231130","1"
"4493_482248","20231201","1"
"4493_482248","20231202","1"
"4493_482248","20231204","1"
"4493_482248","20231205","1"
"4493_482248","20231206","1"
"4493_482248","20231207","1"
"4493_482248","20231209","1"
"4493_482248","20231211","1"
"4493_482248","20231212","1"
"4493_482248","20231213","1"
"4493_482248","20231214","1"
"4493_482248","20231215","1"
"4493_482248","20231216","1"
"4493_482248","20231218","1"
"4493_482248","20231219","1"
"4493_482248","20231220","1"
"4493_482248","20231221","1"
"4493_482248","20231222","1"
"4493_482248","20231223","1"
"4493_482249","20230913","1"
"4493_482249","20230914","1"
"4493_482249","20231227","1"
"4493_482249","20231228","1"
"4493_482249","20231229","1"
"4493_482249","20231230","1"
"4493_482250","20231102","1"
"4493_482250","20231103","1"
"4493_482250","20231104","1"
"4493_482251","20230913","1"
"4493_482251","20230914","1"
"4493_482251","20230915","1"
"4493_482251","20230916","1"
"4493_482251","20230918","1"
"4493_482251","20230919","1"
"4493_482251","20230920","1"
"4493_482251","20230921","1"
"4493_482251","20230922","1"
"4493_482251","20230923","1"
"4493_482251","20230925","1"
"4493_482251","20230926","1"
"4493_482251","20230927","1"
"4493_482251","20230928","1"
"4493_482251","20230929","1"
"4493_482251","20230930","1"
"4493_482251","20231002","1"
"4493_482251","20231003","1"
"4493_482251","20231004","1"
"4493_482251","20231005","1"
"4493_482251","20231006","1"
"4493_482251","20231007","1"
"4493_482251","20231009","1"
"4493_482251","20231010","1"
"4493_482251","20231011","1"
"4493_482251","20231012","1"
"4493_482251","20231013","1"
"4493_482251","20231014","1"
"4493_482251","20231016","1"
"4493_482251","20231017","1"
"4493_482251","20231018","1"
"4493_482251","20231019","1"
"4493_482251","20231020","1"
"4493_482251","20231021","1"
"4493_482251","20231023","1"
"4493_482251","20231024","1"
"4493_482251","20231025","1"
"4493_482251","20231026","1"
"4493_482251","20231027","1"
"4493_482251","20231028","1"
"4493_482251","20231030","1"
"4493_482251","20231031","1"
"4493_482251","20231106","1"
"4493_482251","20231107","1"
"4493_482251","20231108","1"
"4493_482251","20231109","1"
"4493_482251","20231110","1"
"4493_482251","20231111","1"
"4493_482251","20231113","1"
"4493_482251","20231114","1"
"4493_482251","20231115","1"
"4493_482251","20231116","1"
"4493_482251","20231117","1"
"4493_482251","20231118","1"
"4493_482251","20231120","1"
"4493_482251","20231121","1"
"4493_482251","20231122","1"
"4493_482251","20231123","1"
"4493_482251","20231124","1"
